Date,series,OPEN,HIGH,LOW,PREV_CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades
28-Feb-2023,EQ,755,757.1,739.65,752.9,744,742.25,745.22,860.55,628.75,10562614,7871513157.15,147667
27-Feb-2023,EQ,753,754.4,738.45,757.1,753.5,752.9,747.25,860.55,628.75,6719439,5021132650.65,115748
24-Feb-2023,EQ,775.7,775.8,755,762.95,757,757.1,762.75,860.55,628.75,4357223,3323490640.4,97761
23-Feb-2023,EQ,774,777.5,761.85,772.15,765,762.95,767.56,860.55,628.75,4062194,3117959411.2,97508
22-Feb-2023,EQ,777,781.65,766.5,779.05,767.5,772.15,775.07,860.55,628.75,3261898,2528187575.2,90485
21-Feb-2023,EQ,783.05,788,778.15,779.15,780.9,779.05,782.61,860.55,628.75,2769616,2167522736.25,112863
20-Feb-2023,EQ,781.25,793.8,777.1,776.8,780.5,779.15,785.31,860.55,628.75,3381774,2655733287.75,102900
17-Feb-2023,EQ,785.95,787.45,770.3,784.45,777,776.8,779.61,860.55,628.75,3093216,2411514605.2,73933
16-Feb-2023,EQ,789.65,790.5,780.6,785.4,782.1,784.45,784.62,860.55,628.75,3399428,2667268771.65,85274
15-Feb-2023,EQ,775,787.15,772.2,775.2,786.2,785.4,780.87,860.55,628.75,3602838,2813347209.8,78664
14-Feb-2023,EQ,769,777.6,766.2,768.6,774.55,775.2,773.06,860.55,628.75,3502010,2707255061.25,100037
13-Feb-2023,EQ,771,779.6,766.7,771.95,766.7,768.6,773.34,860.55,628.75,3705892,2865902928.95,91500
10-Feb-2023,EQ,768.95,773.2,761,766.65,771,771.95,767.32,860.55,628.75,2954992,2267426982.7,83927
09-Feb-2023,EQ,770,775.1,761.3,775.1,767,766.65,765.93,860.55,628.75,5913945,4529647065.65,131483
08-Feb-2023,EQ,778,781,765,785.9,775,775.1,773.94,860.55,628.75,9951783,7702076257.5,203487
07-Feb-2023,EQ,793.9,795.85,783,789.25,786.35,785.9,788.74,860.55,628.75,4126502,3254737871.9,98376
06-Feb-2023,EQ,789.7,794.65,778.8,792.9,788,789.25,785.55,860.55,628.75,2407975,1891579647.9,52233
03-Feb-2023,EQ,779.9,794.95,778.4,777.75,791.5,792.9,788.35,860.55,628.75,5493687,4330966677.05,119608
02-Feb-2023,EQ,765.1,781,765.05,769.1,776.5,777.75,776.58,860.55,628.75,2841909,2206972919.5,85693
01-Feb-2023,EQ,775.95,784.65,756.6,770.3,768.15,769.1,773.37,860.55,628.75,4472974,3459246357.25,114583
31-Jan-2023,EQ,775,779,768.4,770.2,771,770.3,772.21,860.55,628.75,8537557,6592792173.65,153832
30-Jan-2023,EQ,771.6,774.95,763,774.5,772.75,770.2,768.66,860.55,628.75,5420851,4166805348.95,120447
27-Jan-2023,EQ,774.95,778.9,765.8,776.5,773.55,774.5,773.3,860.55,628.75,6745926,5216606772.7,165330
25-Jan-2023,EQ,774.95,780.5,768,775.65,777.15,776.5,775.16,860.55,628.75,6560514,5085446377.05,178976
24-Jan-2023,EQ,773,777.55,761,772.7,775,775.65,768.97,860.55,628.75,5012125,3854184385.2,166926
23-Jan-2023,EQ,767.9,776,763.85,764.45,771.75,772.7,771.85,860.55,628.75,2685320,2072654013.7,73631
20-Jan-2023,EQ,775.85,775.85,758.3,772,764.5,764.45,764.31,860.55,628.75,6289718,4807275573,117733
19-Jan-2023,EQ,776,776.5,765.65,776.55,770.5,772,771.16,860.55,628.75,4169463,3215310671.45,98036
18-Jan-2023,EQ,768.2,780,766,765.7,778.3,776.55,772.97,860.55,628.75,5800899,4483907197.3,143513
17-Jan-2023,EQ,759.15,768.9,758.75,759.15,766.9,765.7,763.84,860.55,628.75,6594428,5037079690.3,144722
16-Jan-2023,EQ,766.4,768.1,754.65,764.3,758.75,759.15,759.4,860.55,628.75,5779293,4388775266.4,127709
13-Jan-2023,EQ,757,765.95,752,756.9,764.6,764.3,758.51,860.55,628.75,12279288,9313978908.75,182066
12-Jan-2023,EQ,765,769.3,753.55,765.55,756.75,756.9,760.18,860.55,628.75,12732671,9679059639.2,191187
11-Jan-2023,EQ,775,779.65,751.65,792.85,765.4,765.55,763.51,860.55,628.75,28389020,21675281579.4,435071
10-Jan-2023,EQ,826.1,826.1,790.3,819.4,795,792.85,800,860.55,628.75,8392344,6713895339,187627
09-Jan-2023,EQ,802.7,821.5,801.05,796,819.1,819.4,817.14,860.55,628.75,4340729,3546979332.7,139832
06-Jan-2023,EQ,807.55,812.25,792,807.1,795,796,799.51,860.55,628.75,3199618,2558133801.45,100083
05-Jan-2023,EQ,825,825,803.75,811.8,806.95,807.1,810.92,860.55,628.75,5297349,4295702465.25,149144
04-Jan-2023,EQ,818.95,820.45,806.2,817.6,807,811.8,814.85,860.55,628.75,2970216,2420273325.1,91394
03-Jan-2023,EQ,810.35,818.8,808.5,813.5,817,817.6,814.13,860.55,628.75,1717603,1398352259.7,68680
02-Jan-2023,EQ,806.25,816.2,805.6,806.1,813.95,813.5,812.94,860.55,628.75,1626846,1322520250.25,63639
30-Dec-2022,EQ,824.7,824.8,804.95,820.75,808.4,806.1,811.31,860.55,628.75,3113243,2525811276.4,81120
29-Dec-2022,EQ,807.05,824.75,760.1,803.8,823,820.75,814.12,860.55,628.75,6110313,4974535535.65,124608
28-Dec-2022,EQ,813,813.9,801.45,814.8,803.3,803.8,806.55,860.55,628.75,2907741,2345225830.6,86146
27-Dec-2022,EQ,815,819.45,805,811,814.95,814.8,812.35,860.55,628.75,1782053,1447652815.05,72357
26-Dec-2022,EQ,805.05,815.2,801.15,808.65,809.25,811,808.71,860.55,628.75,6023206,4871044496.85,101992
23-Dec-2022,EQ,814,817.95,805,816.6,809.95,808.65,810.81,860.55,628.75,2804496,2273913792.35,95664
22-Dec-2022,EQ,819,824.7,809.5,814,816.3,816.6,818.55,860.55,628.75,3626834,2968737260.25,87131
21-Dec-2022,EQ,833,833.05,812.35,828.95,815,814,820.44,860.55,628.75,5079337,4167268237.7,119997
